size,index,value,update_ns
1000,71,3618,357
1000,681,2864,551
1000,358,7144,464
1000,989,951,347
1000,515,7653,473
1000,22,3188,421
1000,635,1662,482
1000,735,2029,489
1000,865,2653,400
1000,853,1901,404
1000,173,3332,479
1000,959,373,335
1000,611,7246,389
1000,103,6410,420
1000,858,9335,369
1000,204,4262,554
1000,557,6973,549
1000,744,1000,501
1000,40,9772,450
1000,855,4258,414
1000,184,1000,335
1000,984,3030,366
1000,367,7704,373
1000,93,6064,563
1000,37,9920,425
1000,807,2592,485
1000,256,1920,463
1000,350,8674,400
1000,490,3450,370
1000,73,4932,304
1000,71,3618,221
1000,681,2864,553
1000,358,7144,466
1000,989,951,327
1000,515,7653,397
1000,22,3188,442
1000,635,1662,398
1000,735,2029,431
1000,865,2653,381
1000,853,1901,366
1000,173,3332,369
1000,959,373,328
1000,611,7246,296
1000,103,6410,338
1000,858,9335,276
1000,204,4262,346
1000,557,6973,400
1000,744,1000,392
1000,40,9772,303
1000,855,4258,318
1000,184,1000,364
1000,984,3030,325
1000,367,7704,309
1000,93,6064,526
1000,37,9920,514
1000,807,2592,463
1000,256,1920,426
1000,350,8674,365
1000,490,3450,342
1000,73,4932,384
1000,71,3618,271
1000,681,2864,465
1000,358,7144,380
1000,989,951,326
1000,515,7653,364
1000,22,3188,371
1000,635,1662,357
1000,735,2029,386
1000,865,2653,361
1000,853,1901,304
1000,173,3332,409
1000,959,373,289
1000,611,7246,301
1000,103,6410,296
1000,858,9335,257
1000,204,4262,341
1000,557,6973,415
1000,744,1000,376
1000,40,9772,341
1000,855,4258,251
1000,184,1000,360
1000,984,3030,326
1000,367,7704,348
1000,93,6064,627
1000,37,9920,511
1000,807,2592,467
1000,256,1920,439
1000,350,8674,367
1000,490,3450,386
1000,73,4932,399
1000,71,3618,344
1000,681,2864,674
1000,358,7144,519
1000,989,951,376
1000,515,7653,459
1000,22,3188,416
1000,635,1662,434
1000,735,2029,433
1000,865,2653,361
1000,853,1901,399
1000,173,3332,426
1000,959,373,353
1000,611,7246,315
1000,103,6410,372
1000,858,9335,336
1000,204,4262,429
1000,557,6973,405
1000,744,1000,414
1000,40,9772,377
1000,855,4258,362
1000,184,1000,365
1000,984,3030,375
1000,367,7704,374
2000,156,6985,654
2000,1028,550,500
2000,1010,4292,348
2000,1034,6262,347
2000,1552,9832,397
2000,113,588,344
2000,1855,3376,378
2000,1175,1485,356
2000,681,1075,497
2000,478,335,369
2000,489,4703,355
2000,1345,3,633
2000,786,6286,406
2000,1517,2981,447
2000,1931,4961,379
2000,1779,7548,289
2000,1983,6083,267
2000,1493,5472,393
2000,855,7900,397
2000,127,2683,375
